time;rx_cnt;rx_avg_lvl;curr_ch_occ;curr_planes;test_tx_cnt;test_rx_succ_cnt_s;test_rx_succ_cnt_l;test_rx_succ_cnt_ac;test_succ_lvl_s;test_succ_lvl_l;test_succ_lvl_ac;test_avg_lvl_s;test_avg_lvl_l;test_avg_lvl_ac
2020-01-30 16:59:48.327842;26088;-59.01;0.10859965;3;250;50;75;125;91.632;94.62;99.6;-59.01;-58.91;-59.11
2020-01-30 16:59:58.543673;26059;-60;0.1103135;3;250;50;75;125;91.632;94.62;99.6;-60;-59.9;-60.1
2020-01-30 17:00:08.783275;26691;-61.03;0.113342925;3;250;50;75;125;91.632;94.62;99.6;-61.03;-60.93;-61.13
2020-01-30 17:00:18.993477;27699;-62.02;0.113554275;3;250;50;74;124;91.264;94.24;99.2;-62.02;-61.92;-62.12
2020-01-30 17:00:29.213203;27341;-63.03;0.1140535;3;250;50;74;124;91.264;94.24;99.2;-63.03;-62.93;-63.13
2020-01-30 17:00:39.460537;28455;-64.04;0.1172478;3;250;50;74;124;91.264;94.24;99.2;-64.04;-63.94;-64.14
2020-01-30 17:00:49.714303;28002;-65.03;0.1180095;4;250;50;74;124;91.264;94.24;99.2;-65.03;-64.93;-65.13
2020-01-30 17:00:59.975709;29991;-66.02;0.1195852;5;250;49;74;123;90.528;93.48;98.4;-66.02;-65.92;-66.12
2020-01-30 17:01:10.230741;28958;-67.25;0.11899005;6;250;49;74;123;90.528;93.48;98.4;-67.25;-67.15;-67.35
2020-01-30 17:01:20.535177;29197;-68.46;0.118495375;7;250;47;70;117;85.744;88.54;93.2;-68.46;-68.36;-68.56
2020-01-30 17:01:30.759838;28763;-69.47;0.118361725;9;250;48;71;119;87.584;90.44;95.2;-69.47;-69.37;-69.57
2020-01-30 17:01:41.049581;28155;-70.42;0.119149875;9;250;49;74;123;90.16;93.1;98;-70.42;-70.32;-70.52
2020-01-30 17:01:51.340654;27462;-71.51;0.1207311;11;250;48;72;120;87.952;90.82;95.6;-71.51;-71.41;-71.61
2020-01-30 17:02:01.556067;27480;-72.56;0.116238775;12;250;47;70;117;86.112;88.92;93.6;-72.56;-72.46;-72.66
2020-01-30 17:02:11.889335;26824;-73.66;0.11903645;12;250;47;71;118;86.848;89.68;94.4;-73.66;-73.56;-73.76
2020-01-30 17:02:22.146356;27401;-74.66;0.114724325;12;250;44;66;110;80.96;83.6;88;-74.66;-74.56;-74.76
2020-01-30 17:02:32.410633;26940;-75.71;0.112204375;13;250;45;68;114;83.536;86.26;90.8;-75.71;-75.61;-75.81
2020-01-30 17:02:42.654153;27340;-76.4;0.115606325;12;250;45;68;113;82.8;85.5;90;-76.4;-76.3;-76.5
2020-01-30 17:02:52.874521;27882;-77.51;0.117100575;12;250;45;67;112;82.432;85.12;89.6;-77.51;-77.41;-77.61
2020-01-30 17:03:03.123128;27072;-78.46;0.1179249;14;250;43;65;108;79.488;82.08;86.4;-78.46;-78.36;-78.56
2020-01-30 17:03:13.349013;27094;-79.54;0.118053175;14;250;42;63;106;77.648;80.18;84.4;-79.54;-79.44;-79.64
2020-01-30 17:03:23.922893;25800;-80.56;0.116475325;15;250;38;57;95;69.92;72.2;76;-80.56;-80.46;-80.66
2020-01-30 17:03:34.138633;27672;-81.46;0.1155039;15;250;40;59;99;72.864;75.24;79.2;-81.46;-81.36;-81.56
2020-01-30 17:03:44.354473;26547;-82.37;0.115837875;15;250;38;57;95;69.552;71.82;75.6;-82.37;-82.27;-82.47
2020-01-30 17:03:54.651914;24690;-83.45;0.1106716;15;250;37;56;93;68.08;70.3;74;-83.45;-83.35;-83.55
2020-01-30 17:04:04.865046;25265;-84.38;0.1113613;16;250;35;53;88;64.768;66.88;70.4;-84.38;-84.28;-84.48
2020-01-30 17:04:15.078576;24676;-85.38;0.10836585;16;250;31;46;77;56.672;58.52;61.6;-85.38;-85.28;-85.48
2020-01-30 17:04:25.291682;23920;-86.45;0.105313375;17;250;26;39;65;47.472;49.02;51.6;-86.45;-86.35;-86.55
2020-01-30 17:04:35.547004;24281;-87.24;0.104274525;16;250;15;22;37;26.864;27.74;29.2;-87.24;-87.14;-87.34
2020-01-30 17:04:45.761107;23553;-87.74;0.1023856;16;250;3;5;9;6.256;6.46;6.8;-87.74;-87.64;-87.84
2020-01-30 17:04:55.979882;23342;-88;0.101156625;16;250;1;1;2;1.104;1.14;1.2;-88;-87.9;-88.1
2020-01-30 17:05:06.196602;24094;-90;0.1055909;16;250;0;0;0;0;0;0;-90;-89.9;-90.1
2020-01-30 17:05:16.410536;25369;-59.5;0.109550175;16;250;50;75;125;91.632;94.62;99.6;-59.5;-59.4;-59.6
2020-01-30 17:05:26.624042;24898;-60.51;0.109961025;16;250;49;74;124;90.896;93.86;98.8;-60.51;-60.41;-60.61
2020-01-30 17:05:36.857163;26403;-61.53;0.11372855;16;250;50;74;124;91.264;94.24;99.2;-61.53;-61.43;-61.63
2020-01-30 17:05:47.069669;28204;-62.52;0.11750915;16;250;49;74;124;90.896;93.86;98.8;-62.52;-62.42;-62.62
2020-01-30 17:05:57.383373;27272;-63.57;0.120123925;17;250;49;73;122;89.792;92.72;97.6;-63.57;-63.47;-63.67
2020-01-30 17:06:07.632641;26535;-64.51;0.114786125;17;250;49;74;123;90.528;93.48;98.4;-64.51;-64.41;-64.61
2020-01-30 17:06:17.850685;26776;-65.51;0.114787825;19;250;48;73;121;89.056;91.96;96.8;-65.51;-65.41;-65.61
2020-01-30 17:06:28.065189;26967;-66.53;0.116153125;18;250;49;73;122;89.424;92.34;97.2;-66.53;-66.43;-66.63
2020-01-30 17:06:38.279162;27463;-67.59;0.116058625;18;250;49;73;122;89.424;92.34;97.2;-67.59;-67.49;-67.69
2020-01-30 17:06:48.554183;27950;-68.51;0.120457775;19;250;49;73;122;89.792;92.72;97.6;-68.51;-68.41;-68.61
2020-01-30 17:06:58.849539;29685;-69.51;0.124541375;19;250;48;72;120;87.952;90.82;95.6;-69.51;-69.41;-69.61
2020-01-30 17:07:09.159033;31285;-70.6;0.1284886;19;250;48;73;121;89.056;91.96;96.8;-70.6;-70.5;-70.7
2020-01-30 17:07:19.373504;29650;-71.57;0.128815125;20;250;49;73;122;89.424;92.34;97.2;-71.57;-71.47;-71.67
2020-01-30 17:07:29.593788;29747;-72.64;0.119676;21;250;48;72;120;87.952;90.82;95.6;-72.64;-72.54;-72.74
2020-01-30 17:07:39.827480;29737;-73.69;0.12912455;17;250;46;70;116;85.376;88.16;92.8;-73.69;-73.59;-73.79
2020-01-30 17:07:50.050995;30106;-74.74;0.1245708;19;250;46;69;115;84.272;87.02;91.6;-74.74;-74.64;-74.84
2020-01-30 17:08:00.263388;28467;-75.72;0.1275757;18;250;45;67;112;82.432;85.12;89.6;-75.72;-75.62;-75.82
2020-01-30 17:08:10.477611;29371;-76.42;0.12331975;19;250;46;68;114;83.904;86.64;91.2;-76.42;-76.32;-76.52
2020-01-30 17:08:20.691269;31268;-77.57;0.12623725;20;250;42;63;106;77.648;80.18;84.4;-77.57;-77.47;-77.67
2020-01-30 17:08:30.945060;30617;-78.51;0.12651345;18;250;39;59;99;72.496;74.86;78.8;-78.51;-78.41;-78.61
2020-01-30 17:08:41.263703;30956;-79.42;0.129974275;18;250;42;63;105;76.912;79.42;83.6;-79.42;-79.32;-79.52
2020-01-30 17:08:51.494748;30219;-80.57;0.125309775;20;250;40;60;100;73.232;75.62;79.6;-80.57;-80.47;-80.67
2020-01-30 17:09:01.786757;31616;-81.46;0.12673895;20;250;38;57;96;70.288;72.58;76.4;-81.46;-81.36;-81.56
2020-01-30 17:09:12.009645;31245;-82.3;0.125565425;21;250;38;56;94;69.184;71.44;75.2;-82.3;-82.2;-82.4
2020-01-30 17:09:22.313701;30855;-83.46;0.1309906;21;250;33;50;84;61.456;63.46;66.8;-83.46;-83.36;-83.56
2020-01-30 17:09:32.656725;32548;-84.39;0.126039675;22;250;35;52;87;64.032;66.12;69.6;-84.39;-84.29;-84.49
2020-01-30 17:09:42.895301;33177;-85.34;0.132004825;22;250;32;48;81;59.248;61.18;64.4;-85.34;-85.24;-85.44
2020-01-30 17:09:53.156942;32993;-86.72;0.137182325;24;250;22;34;56;41.216;42.56;44.8;-86.72;-86.62;-86.82
2020-01-30 17:10:03.525172;33841;-87.38;0.13374885;23;250;10;15;25;18.032;18.62;19.6;-87.38;-87.28;-87.48
2020-01-30 17:10:13.988509;32864;-87.97;0.136576;25;250;3;5;8;5.888;6.08;6.4;-87.97;-87.87;-88.07
2020-01-30 17:10:24.231494;34694;-89;0.132904225;25;250;0;0;0;0;0;0;-89;-88.9;-89.1
2020-01-30 17:10:34.450494;35565;-88.5;0.14159635;24;250;0;0;1;0.368;0.38;0.4;-88.5;-88.4;-88.6
2020-01-30 17:10:44.679388;35043;-59.5;0.14048185;24;250;50;74;124;91.264;94.24;99.2;-59.5;-59.4;-59.6
2020-01-30 17:10:54.892378;34905;-60.52;0.141323075;26;250;50;75;125;91.632;94.62;99.6;-60.52;-60.42;-60.62
2020-01-30 17:11:05.104814;35164;-61.53;0.1454944;26;250;49;74;123;90.528;93.48;98.4;-61.53;-61.43;-61.63
2020-01-30 17:11:15.356897;34196;-62.5;0.138186025;28;250;50;74;124;91.264;94.24;99.2;-62.5;-62.4;-62.6
2020-01-30 17:11:25.635614;34520;-63.58;0.1454183;28;250;50;74;124;91.264;94.24;99.2;-63.58;-63.48;-63.68
2020-01-30 17:11:35.897062;35901;-64.54;0.1439391;30;250;49;74;124;90.896;93.86;98.8;-64.54;-64.44;-64.64
2020-01-30 17:11:46.125060;36899;-65.51;0.14900605;31;250;48;73;121;89.056;91.96;96.8;-65.51;-65.41;-65.61
2020-01-30 17:11:56.380324;37077;-66.54;0.14973255;30;250;49;74;123;90.528;93.48;98.4;-66.54;-66.44;-66.64
2020-01-30 17:12:06.710321;35625;-67.63;0.146692675;31;250;48;72;121;88.688;91.58;96.4;-67.63;-67.53;-67.73
2020-01-30 17:12:16.920528;36655;-68.54;0.148628575;32;250;47;71;118;86.48;89.3;94;-68.54;-68.44;-68.64
2020-01-30 17:12:27.164474;36599;-69.59;0.14976585;32;250;47;70;117;86.112;88.92;93.6;-69.59;-69.49;-69.69
2020-01-30 17:12:37.457675;37532;-70.7;0.1526518;32;250;48;72;121;88.688;91.58;96.4;-70.7;-70.6;-70.8
2020-01-30 17:12:47.895008;36858;-71.59;0.153967375;31;250;45;68;114;83.536;86.26;90.8;-71.59;-71.49;-71.69
2020-01-30 17:12:58.114413;35085;-72.73;0.1442223;31;250;45;68;113;83.168;85.88;90.4;-72.73;-72.63;-72.83
2020-01-30 17:13:08.417164;35130;-73.74;0.149940875;29;250;46;68;114;83.904;86.64;91.2;-73.74;-73.64;-73.84
2020-01-30 17:13:18.659887;36188;-74.71;0.1510849;31;250;42;63;105;77.28;79.8;84;-74.71;-74.61;-74.81
2020-01-30 17:13:28.879417;35491;-75.69;0.146041625;31;250;43;65;108;79.12;81.7;86;-75.69;-75.59;-75.79
2020-01-30 17:13:39.169234;34900;-76.5;0.150098975;32;250;42;63;105;77.28;79.8;84;-76.5;-76.4;-76.6
2020-01-30 17:13:49.439602;35925;-77.54;0.150606425;30;250;41;62;104;76.176;78.66;82.8;-77.54;-77.44;-77.64
