time;rx_cnt;rx_avg_lvl;curr_ch_occ;curr_planes;test_tx_cnt;test_rx_succ_cnt_s;test_rx_succ_cnt_l;test_rx_succ_cnt_ac;test_succ_lvl_s;test_succ_lvl_l;test_succ_lvl_ac;test_avg_lvl_s;test_avg_lvl_l;test_avg_lvl_ac
2020-06-02 06:51:52;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:53;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:54;13;-63.746889230769234;0.0009413367506949664;0;0;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:55;64;-67.8748778125;0.0022852692683903468;0;1;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:56;65;-67.44245384615382;0.0025595267693979853;0;1;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:57;100;-67.78443429999999;0.003989896991237334;0;1;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:58;112;-67.8237360714286;0.004314527313222378;0;2;0;0;0;0;0;0;0;0;0
2020-06-02 06:51:59;108;-65.01155462962966;0.0031056406578048677;0;2;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:00;104;-66.07370471153847;0.0034652956964922876;0;2;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:01;84;-64.13636059523807;0.0024512882896496335;0;3;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:02;82;-64.9960069512195;0.0024690779230847467;0;3;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:03;104;-67.27959067307691;0.003621641371472603;0;3;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:04;101;-63.96402643564357;0.002550284269333516;0;4;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:05;102;-66.57985421568627;0.0031941801777535758;0;4;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:06;91;-65.82163285714284;0.0031026204914950326;0;4;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:07;76;-64.40780592105263;0.0020046932012349303;0;5;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:08;127;-65.79060929133861;0.003758345302162986;0;5;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:09;83;-63.59514240963852;0.0020618152822187985;0;5;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:10;90;-64.94212733333333;0.0025906960653744025;0;6;0;0;0;0;0;0;0;0;0
2020-06-02 06:52:11;122;-65.62761721311477;0.0035060627535404994;0;6;0;0;0;0;0;0;0;0;0
