time;rx_cnt;rx_avg_lvl;curr_ch_occ;curr_planes;test_tx_cnt;test_rx_succ_cnt_s;test_rx_succ_cnt_l;test_rx_succ_cnt_ac;test_succ_lvl_s;test_succ_lvl_l;test_succ_lvl_ac;test_avg_lvl_s;test_avg_lvl_l;test_avg_lvl_ac
2020-06-02 09:04:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:32;71;-70.67618816901407;0.006048182458864679;0;0;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:33;184;-70.70965309782606;0.006917702538840117;0;1;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:34;198;-70.36264838383832;0.007097602246448358;0;1;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:35;164;-70.32755451219508;0.0057873598955711526;0;1;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:36;172;-70.49858761627904;0.005387688523281152;0;2;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:37;171;-70.17939543859644;0.006245318506428285;0;2;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:38;187;-70.05253631016038;0.006566086554144043;0;2;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:39;134;-69.82789470149253;0.004654695179965869;0;3;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:40;135;-70.35482585185183;0.0045557126147464004;0;3;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:41;121;-70.49860305785124;0.00462683837225814;0;3;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:42;129;-69.48740093023252;0.004568514220785182;0;4;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:43;142;-69.9409913380281;0.00529222791180045;0;4;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:44;98;-68.91713887755103;0.003668281790237172;0;4;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:45;89;-69.42598168539332;0.0038144809250740953;0;5;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:46;67;-71.3615879104478;0.0021114122410202463;0;5;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:47;72;-68.31114305555558;0.0029702255132084488;0;5;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:48;80;-68.65629337500002;0.0038341767459854252;0;6;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:49;79;-69.45898481012661;0.0024586177738231962;0;6;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:50;117;-69.79957042735046;0.003945877446222713;0;6;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:51;110;-69.04336981818186;0.002966818985418558;0;7;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:52;88;-71.32705409090913;0.0030235406035145056;0;7;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:53;101;-68.00127376237627;0.005315545653648697;0;7;0;0;0;0;0;0;0;0;0
2020-06-02 09:04:54;48;-68.35448083333337;0.002112424609319897;0;8;0;0;0;0;0;0;0;0;0
