time;rx_cnt;rx_avg_lvl;curr_ch_occ;curr_planes;test_tx_cnt;test_rx_succ_cnt_s;test_rx_succ_cnt_l;test_rx_succ_cnt_ac;test_succ_lvl_s;test_succ_lvl_l;test_succ_lvl_ac;test_avg_lvl_s;test_avg_lvl_l;test_avg_lvl_ac
2020-01-30 18:00:08.484926;34184;-59.56;0.144216525;38;250;50;74;124;91.264;94.24;99.2;-59.56;-59.46;-59.66
2020-01-30 18:00:18.746318;34125;-60.9;0.14562175;34;250;49;74;124;90.896;93.86;98.8;-60.9;-60.8;-61
2020-01-30 18:00:28.959133;33589;-61.97;0.14269135;33;250;50;74;124;91.264;94.24;99.2;-61.97;-61.87;-62.07
2020-01-30 18:00:39.315095;34315;-62.78;0.14562765;33;250;49;74;123;90.528;93.48;98.4;-62.78;-62.68;-62.88
2020-01-30 18:00:49.619722;34894;-63.96;0.14416505;35;250;48;72;120;87.952;90.82;95.6;-63.96;-63.86;-64.06
2020-01-30 18:00:59.888898;36866;-64.9;0.14800735;34;250;49;73;122;89.792;92.72;97.6;-64.9;-64.8;-65
2020-01-30 18:01:10.161608;37079;-65.78;0.150320275;35;250;49;73;122;89.792;92.72;97.6;-65.78;-65.68;-65.88
2020-01-30 18:01:20.416095;37131;-66.87;0.150500025;35;250;48;72;121;88.688;91.58;96.4;-66.87;-66.77;-66.97
2020-01-30 18:01:30.761635;37510;-67.87;0.15432555;33;250;49;74;123;90.16;93.1;98;-67.87;-67.77;-67.97
2020-01-30 18:01:41.090404;37640;-68.81;0.155326675;33;250;49;73;122;89.424;92.34;97.2;-68.81;-68.71;-68.91
2020-01-30 18:01:51.303775;38326;-69.85;0.151084725;31;250;48;72;120;87.952;90.82;95.6;-69.85;-69.75;-69.95
2020-01-30 18:02:01.546641;40087;-70.89;0.15445565;30;250;48;71;119;87.584;90.44;95.2;-70.89;-70.79;-70.99
2020-01-30 18:02:11.780150;38932;-71.9;0.15571015;29;250;47;70;117;85.744;88.54;93.2;-71.9;-71.8;-72
2020-01-30 18:02:21.999310;38197;-72.86;0.149848125;31;250;45;68;114;83.536;86.26;90.8;-72.86;-72.76;-72.96
2020-01-30 18:02:32.308799;39282;-73.94;0.153782825;30;250;44;65;109;80.224;82.84;87.2;-73.94;-73.84;-74.04
2020-01-30 18:02:42.551296;39770;-74.95;0.15636285;29;250;44;66;111;81.328;83.98;88.4;-74.95;-74.85;-75.05
2020-01-30 18:02:52.795981;39030;-75.9;0.156610275;28;250;43;64;107;78.752;81.32;85.6;-75.9;-75.8;-76
2020-01-30 18:03:03.174015;37282;-76.67;0.15385415;28;250;43;64;107;78.752;81.32;85.6;-76.67;-76.57;-76.77
2020-01-30 18:03:14.149903;37994;-77.71;0.149579425;27;250;40;61;101;74.336;76.76;80.8;-77.71;-77.61;-77.81
2020-01-30 18:03:24.528867;39704;-78.69;0.15000245;27;250;38;57;96;70.288;72.58;76.4;-78.69;-78.59;-78.79
2020-01-30 18:03:34.740465;37685;-79.79;0.15019675;26;250;40;59;99;72.864;75.24;79.2;-79.79;-79.69;-79.89
2020-01-30 18:03:44.955233;36830;-80.86;0.14960195;27;250;39;59;99;72.496;74.86;78.8;-80.86;-80.76;-80.96
2020-01-30 18:03:55.185170;36760;-81.65;0.142982175;26;250;34;50;84;61.824;63.84;67.2;-81.65;-81.55;-81.75
2020-01-30 18:04:05.538295;37939;-82.6;0.151399225;27;250;33;49;82;60.352;62.32;65.6;-82.6;-82.5;-82.7
2020-01-30 18:04:15.751585;38226;-83.63;0.149619125;26;250;33;50;84;61.456;63.46;66.8;-83.63;-83.53;-83.73
2020-01-30 18:04:25.992419;38723;-84.65;0.1515155;26;250;34;50;84;61.824;63.84;67.2;-84.65;-84.55;-84.75
2020-01-30 18:04:36.208099;37491;-85.77;0.148554075;26;250;26;39;65;47.84;49.4;52;-85.77;-85.67;-85.87
2020-01-30 18:04:46.553213;37580;-86.66;0.1481872;26;250;21;32;53;39.008;40.28;42.4;-86.66;-86.56;-86.76
2020-01-30 18:04:56.837526;38158;-87.62;0.1509879;26;250;13;19;32;23.552;24.32;25.6;-87.62;-87.52;-87.72
2020-01-30 18:05:07.194812;37695;-87.81;0.150503;25;250;3;5;8;5.888;6.08;6.4;-87.81;-87.71;-87.91
2020-01-30 18:05:17.445315;36513;-88.5;0.140727325;24;250;0;1;1;0.736;0.76;0.8;-88.5;-88.4;-88.6
2020-01-30 18:05:27.767753;37445;-90;0.143621975;23;250;0;0;0;0;0;0;-90;-89.9;-90.1
2020-01-30 18:05:38.064107;36279;-59.6;0.147297375;23;250;50;75;125;91.632;94.62;99.6;-59.6;-59.5;-59.7
2020-01-30 18:05:48.274755;36794;-60.92;0.144003825;23;250;49;74;124;90.896;93.86;98.8;-60.92;-60.82;-61.02
2020-01-30 18:05:58.536288;35978;-61.93;0.147126675;25;250;49;74;123;90.16;93.1;98;-61.93;-61.83;-62.03
2020-01-30 18:06:08.748667;35063;-62.89;0.1446203;24;250;50;75;125;91.632;94.62;99.6;-62.89;-62.79;-62.99
2020-01-30 18:06:18.987003;35404;-63.92;0.141636175;23;250;49;73;122;89.792;92.72;97.6;-63.92;-63.82;-64.02
2020-01-30 18:06:29.199715;34311;-64.93;0.1417965;24;250;49;74;123;90.16;93.1;98;-64.93;-64.83;-65.03
2020-01-30 18:06:39.467186;33833;-65.83;0.142233725;24;250;49;73;122;89.792;92.72;97.6;-65.83;-65.73;-65.93
2020-01-30 18:06:49.831359;34526;-66.92;0.140131825;25;250;49;74;123;90.528;93.48;98.4;-66.92;-66.82;-67.02
2020-01-30 18:07:00.224865;33943;-67.97;0.1405083;26;250;49;74;123;90.16;93.1;98;-67.97;-67.87;-68.07
2020-01-30 18:07:10.554497;33989;-68.81;0.133180725;26;250;48;73;121;89.056;91.96;96.8;-68.81;-68.71;-68.91
2020-01-30 18:07:20.811329;33520;-69.83;0.13251115;28;250;48;72;121;88.688;91.58;96.4;-69.83;-69.73;-69.93
2020-01-30 18:07:31.026660;33317;-70.91;0.1330037;28;250;48;72;120;87.952;90.82;95.6;-70.91;-70.81;-71.01
2020-01-30 18:07:41.314979;33530;-71.92;0.133318025;28;250;46;69;116;85.008;87.78;92.4;-71.92;-71.82;-72.02
